Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('1.png', '2.png')",0.626415094,0.896871918,0.848979592,0.816653475,0.946902655,0.902547921,0.995798319,0.943723495,1,0.993991013
"('1.png', '3.png')",0.761627907,0.835094487,0.801932367,0.818673492,0.948356808,0.893730455,0.974895397,0.910790272,1,0.978234169
"('1.png', '4.png')",0.578947368,0.774256439,0.8203125,0.818124374,0.950672646,0.910227834,0.976190476,0.933284021,1,0.986345547
"('1.png', '5.png')",0.626666667,0.455394082,0.826612903,0.821643494,0.945606695,0.926243601,0.983516484,0.898296069,1,0.918254817
"('1.png', '6.png')",0.56626506,0.858545839,0.843220339,0.812268719,0.883408072,0.848212333,0.972222222,0.906570977,1,0.993991013
"('1.png', '7.png')",0.5,0.764643155,0.804878049,0.79444049,0.917391304,0.884904396,0.960288809,0.918009888,1,0.972038317
"('1.png', '8.png')",0.64321608,0.819206643,0.795121951,0.80118928,0.909090909,0.855054055,0.987755102,0.929860516,1,0.980248167
"('1.png', '9.png')",0.570731707,0.790851517,0.811659193,0.806252869,0.934497817,0.888714566,0.979253112,0.942285533,1,0.988326477
"('1.png', '10.png')",0.54822335,0.809782568,0.877828054,0.822334986,0.893617021,0.899468123,0.970149254,0.919859208,1,0.983509789
"('1.png', '11.png')",0.527272727,0.756704737,0.691099476,0.792928365,0.902439024,0.866197973,0.970149254,0.927779369,1,0.993991013
"('1.png', '12.png')",0.509615385,0.801963444,0.806324111,0.78394948,0.823529412,0.802083082,0.979695431,0.89941033,1,0.993991013
"('1.png', '13.png')",0.580357143,0.849075721,0.828828829,0.808412015,0.895582329,0.884796174,0.979166667,0.924250759,1,0.910721048
"('1.png', '14.png')",0.573333333,0.788827062,0.817490494,0.791373695,0.96875,0.905582161,0.966542751,0.931052275,1,0.993991013
"('1.png', '15.png')",0.611111111,0.838277968,0.715846995,0.79729685,0.946666667,0.875478769,0.981203008,0.908834653,1,0.954153952
"('1.png', '16.png')",0.48241206,0.771994638,0.804444444,0.817381268,0.868686869,0.888424609,0.980099502,0.909898812,1,0.993991013
"('1.png', '17.png')",0.616438356,0.849127107,0.765853659,0.813785741,0.899159664,0.889400239,0.964285714,0.891265997,1,0.988410833
"('1.png', '18.png')",0.617511521,0.82351819,0.861607143,0.824674995,0.935483871,0.87432507,0.966666667,0.912898234,1,0.962514634
"('1.png', '19.png')",0.611702128,0.654569793,0.823529412,0.801125793,0.91025641,0.899815296,1,0.947476635,1,0.993991013
"('1.png', '20.png')",0.569306931,0.839154683,0.656084656,0.79233486,0.896995708,0.885488475,0.979253112,0.909817753,1,0.982515512
"('1.png', '21.png')",0.533057851,0.851641862,0.782608696,0.75048782,0.929460581,0.916090601,0.953125,0.921604253,1,0.970407439
"('1.png', '22.png')",0.564220183,0.849085949,0.760504202,0.812289141,0.923497268,0.790648081,0.978354978,0.930659381,1,0.959903736
"('1.png', '23.png')",0.592592593,0.842334627,0.889328063,0.821157368,0.882051282,0.863731402,0.969026549,0.883314486,1,0.985922744
"('1.png', '24.png')",0.557788945,0.721236961,0.868217054,0.769277549,0.903614458,0.901672829,0.984063745,0.922684739,1,0.993991013
"('1.png', '25.png')",0.632653061,0.786432075,0.842105263,0.811939948,0.881081081,0.84077166,0.965367965,0.931610515,1,0.993991013
"('1.png', '26.png')",0.526315789,0.448893203,0.797235023,0.792568693,0.930434783,0.886187275,0.991836735,0.914206906,1,0.976407364
"('1.png', '27.png')",0.541237113,0.80691054,0.778894472,0.808928159,0.913461538,0.892634187,0.975308642,0.907415887,1,0.922696342
"('1.png', '28.png')",0.57037037,0.564175858,0.788,0.791671091,0.899543379,0.899235839,0.957894737,0.857890079,1,0.986597704
"('1.png', '29.png')",0.587378641,0.804447692,0.783783784,0.803682953,0.930735931,0.905333112,0.965116279,0.912359311,0.997333333,0.977717464
"('1.png', '30.png')",0.539170507,0.78026558,0.873913043,0.841835222,0.901869159,0.8635949,0.964705882,0.924128853,1,0.994098831
"('1.png', '31.png')",0.534482759,0.847668065,0.80334728,0.706187019,0.918032787,0.885473181,0.979487179,0.91596045,1,0.979309275
"('1.png', '32.png')",0.6,0.466069822,0.822510823,0.802826813,0.868778281,0.826661845,0.973977695,0.934914112,1,0.996127298
"('1.png', '33.png')",0.616161616,0.810767223,0.827272727,0.709242798,0.923076923,0.871284094,0.952095808,0.768831696,1,0.968991328
"('1.png', '34.png')",0.634361233,0.864146489,0.782258065,0.679766751,0.951327434,0.911857747,0.945273632,0.891403615,1,0.993991013
