Files Compared,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM
"('2.png', '38.png')",0.599078341,0.714182766,0.801687764,0.77910562,0.897435897,0.806688799,1,0.978542,1,0.975065061
"('2.png', '39.png')",0.537777778,0.63239586,0.910714286,0.760061405,0.948571429,0.814194432,1,0.944544821,1,1
"('2.png', '40.png')",0.648648649,0.759418327,0.876712329,0.739170052,0.89010989,0.7858329,1,0.943965546,1,1
"('2.png', '41.png')",0.616740088,0.738695798,0.880184332,0.713452714,0.854054054,0.783091184,1,0.956642875,0.994350282,0.941912775
"('2.png', '42.png')",0.576190476,0.631045614,0.637755102,0.720036576,0.949748744,0.780630136,1,0.959550174,1,0.975108024
"('2.png', '43.png')",0.661538462,0.608110997,0.844660194,0.76137274,0.83974359,0.749001595,1,0.991653873,1,0.983488578
"('2.png', '44.png')",0.449541284,0.61526468,0.844339623,0.734595434,0.896551724,0.748555408,1,0.959725264,1,1
"('2.png', '45.png')",0.59,0.59902198,0.838383838,0.758679713,0.895424837,0.803730557,1,0.967728179,1,0.960948954
"('2.png', '46.png')",0.683870968,0.563211406,0.953271028,0.758694156,0.891566265,0.783531052,1,0.971063105,1,0.986462608
"('2.png', '47.png')",0.487922705,0.576746021,0.852534562,0.764265208,0.866995074,0.795214485,1,0.967155857,0.996539792,0.966211732
"('2.png', '48.png')",0.479262673,0.583603832,0.842364532,0.811504812,0.914691943,0.818348514,1,0.845395917,1,0.99757746
"('2.png', '49.png')",0.584070796,0.676248931,0.769230769,0.740963449,0.878612717,0.779206264,1,0.98909123,1,0.928525052
"('2.png', '50.png')",0.607734807,0.654247229,0.837962963,0.805133165,0.907608696,0.795235495,1,0.927109882,1,0.994483708
"('2.png', '51.png')",0.510309278,0.591801521,0.835555556,0.793239432,0.918918919,0.765411407,1,0.907353867,1,0.94601745
"('2.png', '52.png')",0.558951965,0.665770087,0.844660194,0.790200143,0.920212766,0.778665642,1,0.940174016,1,0.951335572
"('2.png', '53.png')",0.689655172,0.594895961,0.842342342,0.804576087,0.86163522,0.773647854,1,0.971868814,1,0.937708225
"('2.png', '54.png')",0.515789474,0.586426512,0.875555556,0.758706462,0.90052356,0.801072946,1,0.971152025,1,1
"('2.png', '55.png')",0.668508287,0.578357845,0.817258883,0.783097303,0.874172185,0.80797113,1,0.907260855,1,1
"('2.png', '56.png')",0.561904762,0.665872324,0.845454545,0.77190972,0.912371134,0.744043201,1,0.97528711,1,0.988357961
"('2.png', '57.png')",0.536231884,0.659939136,0.851485149,0.706982882,0.92972973,0.811486927,1,0.991928672,1,1
"('2.png', '58.png')",0.585635359,0.675648316,0.91943128,0.791389151,0.877192982,0.785736735,1,0.932303387,1,0.887077466
"('2.png', '59.png')",0.590243902,0.628721548,0.879464286,0.747377018,0.852791878,0.745916272,1,0.975387334,0.99669967,0.975799304
"('2.png', '60.png')",0.528795812,0.613129129,0.849137931,0.788150487,0.903553299,0.775177883,1,0.973315284,1,0.985031959
"('2.png', '61.png')",0.596590909,0.622932649,0.811403509,0.779336513,0.956521739,0.772180256,1,0.950683231,1,1
"('2.png', '62.png')",0.6,0.735049323,0.844262295,0.8108409,0.895238095,0.784341476,1,0.936382145,1,1
"('2.png', '63.png')",0.532338308,0.616063419,0.82300885,0.817086321,0.844444444,0.728653305,1,0.97617124,1,0.989154707
"('2.png', '64.png')",0.54950495,0.632343136,0.863414634,0.71932592,0.888268156,0.7835938,1,0.984506802,1,0.997841748
"('3.png', '4.png')",0.764976959,0.642985982,0.923469388,0.798005374,0.940594059,0.892869104,0.987012987,0.958958508,1,1
"('3.png', '5.png')",0.851674641,0.546601659,0.872037915,0.808186628,0.931578947,0.883718236,0.952380952,0.852698456,1,0.99571907
"('3.png', '6.png')",0.728571429,0.671777715,0.853403141,0.815986824,0.939252336,0.879684476,0.977777778,0.882364819,0.997311828,0.990134556
"('3.png', '7.png')",0.730392157,0.682164196,0.831111111,0.76853033,0.947136564,0.891513029,0.942386831,0.895713875,1,0.980063587
"('3.png', '8.png')",0.862876254,0.752928405,0.887700535,0.823292275,0.977272727,0.877468782,0.975694444,0.929991658,1,1
