Files Compared,ORB,SSIM
"('1.png', '2.png')",1.0,0.9939910134139417
"('1.png', '3.png')",1.0,0.9782341687989099
"('1.png', '4.png')",1.0,0.9863455466116787
"('1.png', '5.png')",1.0,0.9182548174743254
"('1.png', '6.png')",1.0,0.9939910134139417
"('1.png', '7.png')",1.0,0.9720383169113364
"('1.png', '8.png')",1.0,0.9802481668853303
"('1.png', '9.png')",1.0,0.9883264773052137
"('1.png', '10.png')",1.0,0.9835097890443415
"('1.png', '11.png')",1.0,0.9939910134139417
"('1.png', '12.png')",1.0,0.9939910134139417
"('1.png', '13.png')",1.0,0.9107210483305979
"('1.png', '14.png')",1.0,0.9939910134139417
"('1.png', '15.png')",1.0,0.9541539522654242
"('1.png', '16.png')",1.0,0.9939910134139417
"('1.png', '17.png')",1.0,0.9884108331743087
"('1.png', '18.png')",1.0,0.9625146340166612
"('1.png', '19.png')",1.0,0.9939910134139417
"('1.png', '20.png')",1.0,0.9825155117450076
"('1.png', '21.png')",1.0,0.9704074394491293
"('1.png', '22.png')",1.0,0.9599037360297621
"('1.png', '23.png')",1.0,0.985922744067815
"('1.png', '24.png')",1.0,0.9939910134139417
"('1.png', '25.png')",1.0,0.9939910134139417
"('1.png', '26.png')",1.0,0.9764073640695664
"('1.png', '27.png')",1.0,0.922696341823458
"('1.png', '28.png')",1.0,0.9865977041050392
"('1.png', '29.png')",0.9973333333333333,0.9777174637941127
"('1.png', '30.png')",1.0,0.9940988307690112
"('1.png', '31.png')",1.0,0.9793092754526956
"('1.png', '32.png')",1.0,0.9961272984655808
"('1.png', '33.png')",1.0,0.9689913281425045
"('1.png', '34.png')",1.0,0.9939910134139417
"('1.png', '35.png')",0.9954545454545455,0.9477501678244113
"('1.png', '36.png')",1.0,0.9916082451082359
"('1.png', '37.png')",1.0,0.9805631921385656
"('1.png', '38.png')",1.0,0.9727166219823601
"('1.png', '39.png')",1.0,0.9939910134139417
"('1.png', '40.png')",1.0,0.9948157372178362
"('1.png', '41.png')",1.0,0.9860672966760505
"('1.png', '42.png')",1.0,0.9939910134139417
"('1.png', '43.png')",1.0,0.9858528959959205
"('1.png', '44.png')",1.0,0.9822633696437566
