Files Compared,ORB,SSIM
"('60.png', '55.png')",0.896551724137931,0.848754364975556
"('60.png', '57.png')",0.9278846153846154,0.8517351494558446
"('60.png', '22.png')",0.9466666666666667,0.8594440213116967
"('60.png', '56.png')",0.8714859437751004,0.8313653136129213
"('60.png', '63.png')",0.8738317757009346,0.8487332111894799
"('60.png', '37.png')",0.9213973799126638,0.8401909746108919
"('60.png', '61.png')",0.8806584362139918,0.8344801612444425
"('60.png', '6.png')",0.8625,0.7949245161124904
"('60.png', '23.png')",0.8421052631578947,0.8418149804517573
"('60.png', '42.png')",0.8551401869158879,0.8160203320084771
"('60.png', '15.png')",0.9035532994923858,0.8276036872195762
"('60.png', '52.png')",0.8938053097345132,0.852892443129571
"('60.png', '7.png')",0.8933333333333333,0.8214807299701349
"('60.png', '8.png')",0.9333333333333333,0.8350331966794265
"('60.png', '11.png')",0.9054054054054054,0.8407402518430839
"('60.png', '12.png')",0.9116279069767442,0.8109745033806445
"('60.png', '13.png')",0.8955823293172691,0.8402225302693117
"('60.png', '47.png')",0.8938053097345132,0.8305020692247321
"('60.png', '53.png')",0.8793969849246231,0.8569766968336415
"('60.png', '46.png')",0.9209302325581395,0.8460905669412971
"('60.png', '43.png')",0.9104477611940298,0.7990845773241304
"('60.png', '26.png')",0.9392712550607287,0.8569542078603268
"('60.png', '54.png')",0.8828828828828829,0.8500577891898775
"('60.png', '41.png')",0.9519650655021834,0.8597342592015633
"('60.png', '36.png')",0.9170731707317074,0.8640004255699824
"('60.png', '51.png')",0.8780487804878049,0.8172317286138752
"('60.png', '2.png')",0.9034749034749034,0.8468530018592233
"('60.png', '27.png')",0.8793969849246231,0.8562134869013001
"('60.png', '17.png')",0.8565022421524664,0.8137395702738446
"('60.png', '16.png')",0.8061224489795918,0.8279494653489029
"('60.png', '31.png')",0.9027027027027027,0.7871835132035959
"('60.png', '5.png')",0.9692982456140351,0.884351192010565
"('60.png', '30.png')",0.8497409326424871,0.7599906894668655
"('60.png', '14.png')",0.9528301886792453,0.8562055878570917
"('60.png', '1.png')",0.9278846153846154,0.8660592428642265
"('60.png', '45.png')",0.9102040816326531,0.8642847725545276
"('60.png', '39.png')",0.8374384236453202,0.8145397147274135
"('60.png', '40.png')",0.8262910798122066,0.8307531751647893
"('60.png', '3.png')",0.8961038961038961,0.8632945811545142
"('60.png', '20.png')",0.9144144144144144,0.8417023595372589
"('60.png', '64.png')",0.91,0.8410169186363671
"('60.png', '33.png')",0.9053497942386831,0.8676958677122726
"('60.png', '24.png')",0.899581589958159,0.8604563752732647
"('60.png', '19.png')",0.9291666666666667,0.8587059723619087
"('60.png', '38.png')",0.9174311926605505,0.8787592523245097
"('60.png', '34.png')",0.91701244813278,0.8712705247769309
"('60.png', '29.png')",0.8991228070175439,0.8501924658709296
"('60.png', '49.png')",0.9109311740890689,0.8593401993709984
"('60.png', '4.png')",0.9087301587301587,0.866506058245474
"('60.png', '59.png')",0.8540772532188842,0.82662193254145
"('60.png', '50.png')",0.9434782608695652,0.8580646914997233
"('60.png', '28.png')",0.9203980099502488,0.8363804908877649
"('60.png', '25.png')",0.8840579710144928,0.7870692639989798
"('60.png', '48.png')",0.9288702928870293,0.8567042320826227
"('60.png', '9.png')",0.8552631578947368,0.8269460457509455
"('60.png', '62.png')",0.8866396761133604,0.8429409390473772
"('60.png', '44.png')",0.9103139013452914,0.8267145306660145
"('60.png', '35.png')",0.9047619047619048,0.8030546246503802
"('60.png', '10.png')",0.889795918367347,0.84848690207706
"('60.png', '18.png')",0.9162790697674419,0.8459726669813517
"('60.png', '32.png')",0.8931623931623932,0.7934015530712522
"('60.png', '21.png')",0.9282511210762332,0.8784932780019594
"('60.png', '58.png')",0.8214285714285714,0.7916041457144504
"('55.png', '57.png')",0.8347826086956521,0.895474656867752
"('55.png', '22.png')",0.893491124260355,0.9047172756441858
"('55.png', '56.png')",0.9078947368421053,0.8968744856373574
"('55.png', '63.png')",0.9272727272727272,0.8778565540342848
"('55.png', '37.png')",0.776,0.8797936821332434
"('55.png', '61.png')",0.8735632183908046,0.8584929527465008
"('55.png', '6.png')",0.8513513513513513,0.8609003277652706
"('55.png', '23.png')",0.8125,0.8800266991263638
"('55.png', '42.png')",0.9259259259259259,0.8607712871083003
"('55.png', '15.png')",0.8699186991869918,0.8624383601115236
"('55.png', '52.png')",0.8372093023255814,0.8928060597286377
"('55.png', '7.png')",0.9,0.8710723983752948
"('55.png', '8.png')",0.9423076923076923,0.8793223678408705
"('55.png', '11.png')",0.8802816901408451,0.8766810139273327
"('55.png', '12.png')",0.9122807017543859,0.8524893462690998
"('55.png', '13.png')",0.875,0.8708922929243386
"('55.png', '47.png')",0.8689655172413793,0.8837634386356229
"('55.png', '53.png')",0.873015873015873,0.8994253803531738
"('55.png', '46.png')",0.8482142857142857,0.8785240303197837
"('55.png', '43.png')",0.8059701492537313,0.8510391859152183
"('55.png', '26.png')",0.8976377952755905,0.896698320676388
"('55.png', '54.png')",0.896,0.8999495069246656
