Files Compared,ORB,SSIM
"('1.png', '2.png')",1.0,1.0
"('1.png', '3.png')",1.0,1.0
"('1.png', '4.png')",1.0,1.0
"('1.png', '5.png')",1.0,0.9957190701052431
"('1.png', '6.png')",0.9973118279569892,0.9901345563811735
"('1.png', '7.png')",1.0,0.9800635866333184
"('1.png', '8.png')",1.0,1.0
"('1.png', '9.png')",1.0,0.997577460114052
"('1.png', '10.png')",1.0,0.9810987050206168
"('1.png', '11.png')",1.0,1.0
"('1.png', '12.png')",1.0,0.9940225004487497
"('1.png', '13.png')",0.9968152866242038,0.9642396148117282
"('1.png', '14.png')",1.0,1.0
"('1.png', '15.png')",1.0,0.95835317957537
"('1.png', '16.png')",1.0,1.0
"('1.png', '17.png')",1.0,1.0
"('1.png', '18.png')",1.0,0.9719978854125669
"('1.png', '19.png')",1.0,0.9942790452132364
"('1.png', '20.png')",1.0,0.9535376147761978
"('1.png', '21.png')",1.0,0.9819491011057208
"('1.png', '22.png')",1.0,0.997762204709712
"('1.png', '23.png')",1.0,0.9819890568531581
"('1.png', '24.png')",1.0,1.0
"('1.png', '25.png')",1.0,1.0
"('1.png', '26.png')",1.0,0.9646859187911795
"('1.png', '27.png')",1.0,0.9691994661432085
"('1.png', '28.png')",1.0,0.977934064952105
"('1.png', '29.png')",0.9970059880239521,0.9472037313387158
"('1.png', '30.png')",1.0,0.9830753775968534
"('1.png', '31.png')",1.0,0.9924596607597733
"('1.png', '32.png')",1.0,1.0
"('1.png', '33.png')",1.0,0.9586493612652176
"('1.png', '34.png')",1.0,1.0
"('1.png', '35.png')",0.9956521739130435,0.9420447342483497
"('1.png', '36.png')",1.0,1.0
"('1.png', '37.png')",1.0,1.0
"('1.png', '38.png')",1.0,0.9750650606839614
"('1.png', '39.png')",1.0,1.0
"('1.png', '40.png')",1.0,1.0
"('1.png', '41.png')",0.9943502824858758,0.9419127746203745
"('1.png', '42.png')",1.0,0.9751080236161894
"('1.png', '43.png')",1.0,0.9834885784198882
"('1.png', '44.png')",1.0,1.0
"('1.png', '45.png')",1.0,0.960948953667358
"('1.png', '46.png')",1.0,0.9864626079530335
"('1.png', '47.png')",0.9965397923875432,0.9662117324421188
"('1.png', '48.png')",1.0,0.997577460114052
"('1.png', '49.png')",1.0,0.9285250519342257
"('1.png', '50.png')",1.0,0.9944837077361744
"('1.png', '51.png')",1.0,0.9460174504371762
"('1.png', '52.png')",1.0,0.9513355719168303
"('1.png', '53.png')",1.0,0.9377082249061681
"('1.png', '54.png')",1.0,1.0
"('1.png', '55.png')",1.0,1.0
"('1.png', '56.png')",1.0,0.9883579609940104
"('1.png', '57.png')",1.0,1.0
"('1.png', '58.png')",1.0,0.8870774662712265
"('1.png', '59.png')",0.9966996699669967,0.9757993038571725
"('1.png', '60.png')",1.0,0.9850319586955353
"('1.png', '61.png')",1.0,1.0
"('1.png', '62.png')",1.0,1.0
"('1.png', '63.png')",1.0,0.9891547070089262
"('1.png', '64.png')",1.0,0.9978417478701961
"('2.png', '3.png')",1.0,1.0
"('2.png', '4.png')",1.0,1.0
"('2.png', '5.png')",1.0,0.9957190701052431
"('2.png', '6.png')",0.9973118279569892,0.9901345563811735
"('2.png', '7.png')",1.0,0.9800635866333184
"('2.png', '8.png')",1.0,1.0
"('2.png', '9.png')",1.0,0.997577460114052
"('2.png', '10.png')",1.0,0.9810987050206168
"('2.png', '11.png')",1.0,1.0
"('2.png', '12.png')",1.0,0.9940225004487497
"('2.png', '13.png')",0.9968152866242038,0.9642396148117282
"('2.png', '14.png')",1.0,1.0
"('2.png', '15.png')",1.0,0.95835317957537
"('2.png', '16.png')",1.0,1.0
"('2.png', '17.png')",1.0,1.0
"('2.png', '18.png')",1.0,0.9719978854125669
"('2.png', '19.png')",1.0,0.9942790452132364
"('2.png', '20.png')",1.0,0.9535376147761978
"('2.png', '21.png')",1.0,0.9819491011057208
"('2.png', '22.png')",1.0,0.997762204709712
"('2.png', '23.png')",1.0,0.9819890568531581
"('2.png', '24.png')",1.0,1.0
"('2.png', '25.png')",1.0,1.0
"('2.png', '26.png')",1.0,0.9646859187911795
"('2.png', '27.png')",1.0,0.9691994661432085
"('2.png', '28.png')",1.0,0.977934064952105
"('2.png', '29.png')",0.9970059880239521,0.9472037313387158
"('2.png', '30.png')",1.0,0.9830753775968534
"('2.png', '31.png')",1.0,0.9924596607597733
"('2.png', '32.png')",1.0,1.0
"('2.png', '33.png')",1.0,0.9586493612652176
"('2.png', '34.png')",1.0,1.0
"('2.png', '35.png')",0.9956521739130435,0.9420447342483497
"('2.png', '36.png')",1.0,1.0
"('2.png', '37.png')",1.0,1.0
"('2.png', '38.png')",1.0,0.9750650606839614
"('2.png', '39.png')",1.0,1.0
"('2.png', '40.png')",1.0,1.0
"('2.png', '41.png')",0.9943502824858758,0.9419127746203745
"('2.png', '42.png')",1.0,0.9751080236161894
"('2.png', '43.png')",1.0,0.9834885784198882
"('2.png', '44.png')",1.0,1.0
"('2.png', '45.png')",1.0,0.960948953667358
"('2.png', '46.png')",1.0,0.9864626079530335
"('2.png', '47.png')",0.9965397923875432,0.9662117324421188
"('2.png', '48.png')",1.0,0.997577460114052
"('2.png', '49.png')",1.0,0.9285250519342257
"('2.png', '50.png')",1.0,0.9944837077361744
"('2.png', '51.png')",1.0,0.9460174504371762
"('2.png', '52.png')",1.0,0.9513355719168303
"('2.png', '53.png')",1.0,0.9377082249061681
"('2.png', '54.png')",1.0,1.0
"('2.png', '55.png')",1.0,1.0
"('2.png', '56.png')",1.0,0.9883579609940104
"('2.png', '57.png')",1.0,1.0
"('2.png', '58.png')",1.0,0.8870774662712265
"('2.png', '59.png')",0.9966996699669967,0.9757993038571725
"('2.png', '60.png')",1.0,0.9850319586955353
"('2.png', '61.png')",1.0,1.0
"('2.png', '62.png')",1.0,1.0
"('2.png', '63.png')",1.0,0.9891547070089262
"('2.png', '64.png')",1.0,0.9978417478701961
"('3.png', '4.png')",1.0,1.0
"('3.png', '5.png')",1.0,0.9957190701052431
"('3.png', '6.png')",0.9973118279569892,0.9901345563811735
"('3.png', '7.png')",1.0,0.9800635866333184
"('3.png', '8.png')",1.0,1.0
"('3.png', '9.png')",1.0,0.997577460114052
"('3.png', '10.png')",1.0,0.9810987050206168
"('3.png', '11.png')",1.0,1.0
"('3.png', '12.png')",1.0,0.9940225004487497
"('3.png', '13.png')",0.9968152866242038,0.9642396148117282
"('3.png', '14.png')",1.0,1.0
"('3.png', '15.png')",1.0,0.95835317957537
"('3.png', '16.png')",1.0,1.0
"('3.png', '17.png')",1.0,1.0
"('3.png', '18.png')",1.0,0.9719978854125669
"('3.png', '19.png')",1.0,0.9942790452132364
"('3.png', '20.png')",1.0,0.9535376147761978
"('3.png', '21.png')",1.0,0.9819491011057208
"('3.png', '22.png')",1.0,0.997762204709712
"('3.png', '23.png')",1.0,0.9819890568531581
"('3.png', '24.png')",1.0,1.0
"('3.png', '25.png')",1.0,1.0
"('3.png', '26.png')",1.0,0.9646859187911795
"('3.png', '27.png')",1.0,0.9691994661432085
"('3.png', '28.png')",1.0,0.977934064952105
"('3.png', '29.png')",0.9970059880239521,0.9472037313387158
"('3.png', '30.png')",1.0,0.9830753775968534
"('3.png', '31.png')",1.0,0.9924596607597733
"('3.png', '32.png')",1.0,1.0
"('3.png', '33.png')",1.0,0.9586493612652176
"('3.png', '34.png')",1.0,1.0
"('3.png', '35.png')",0.9956521739130435,0.9420447342483497
"('3.png', '36.png')",1.0,1.0
"('3.png', '37.png')",1.0,1.0
"('3.png', '38.png')",1.0,0.9750650606839614
"('3.png', '39.png')",1.0,1.0
"('3.png', '40.png')",1.0,1.0
"('3.png', '41.png')",0.9943502824858758,0.9419127746203745
"('3.png', '42.png')",1.0,0.9751080236161894
"('3.png', '43.png')",1.0,0.9834885784198882
"('3.png', '44.png')",1.0,1.0
"('3.png', '45.png')",1.0,0.960948953667358
"('3.png', '46.png')",1.0,0.9864626079530335
"('3.png', '47.png')",0.9965397923875432,0.9662117324421188
"('3.png', '48.png')",1.0,0.997577460114052
"('3.png', '49.png')",1.0,0.9285250519342257
"('3.png', '50.png')",1.0,0.9944837077361744
"('3.png', '51.png')",1.0,0.9460174504371762
"('3.png', '52.png')",1.0,0.9513355719168303
"('3.png', '53.png')",1.0,0.9377082249061681
"('3.png', '54.png')",1.0,1.0
"('3.png', '55.png')",1.0,1.0
"('3.png', '56.png')",1.0,0.9883579609940104
"('3.png', '57.png')",1.0,1.0
"('3.png', '58.png')",1.0,0.8870774662712265
"('3.png', '59.png')",0.9966996699669967,0.9757993038571725
"('3.png', '60.png')",1.0,0.9850319586955353
