Files Compared,ORB,SSIM
"('1.png', '2.png')",0.757847533632287,0.6851064554009848
"('1.png', '3.png')",0.8252427184466019,0.708408642702116
"('1.png', '4.png')",0.8663366336633663,0.6932148890508688
"('1.png', '5.png')",0.8220338983050848,0.7010668036146773
"('1.png', '6.png')",0.7878787878787878,0.6855090187633256
"('1.png', '7.png')",0.8192771084337349,0.6841621975263562
"('1.png', '8.png')",0.8444444444444444,0.70280617284749
"('1.png', '9.png')",0.8047619047619048,0.6955606303354323
"('1.png', '10.png')",0.8034188034188035,0.7086408775695205
"('1.png', '11.png')",0.6097560975609756,0.669178436561498
"('1.png', '12.png')",0.8181818181818182,0.6728517155514755
"('1.png', '13.png')",0.803030303030303,0.6882467346843271
"('1.png', '14.png')",0.811965811965812,0.7078411503420968
"('1.png', '15.png')",0.6020942408376964,0.6709690865319456
"('1.png', '16.png')",0.8027522935779816,0.6983055271915078
"('1.png', '17.png')",0.7040816326530612,0.6916825685377024
"('1.png', '18.png')",0.7166666666666667,0.7019874476533846
"('1.png', '19.png')",0.7725118483412322,0.696488674236695
"('1.png', '20.png')",0.625,0.6808701573188877
"('1.png', '21.png')",0.8136363636363636,0.6400981831015357
"('1.png', '22.png')",0.7607655502392344,0.6849538676473861
"('1.png', '23.png')",0.8202764976958525,0.6915279086034465
"('1.png', '24.png')",0.8347107438016529,0.7219024061705409
"('1.png', '25.png')",0.7735849056603774,0.6829266383497165
"('1.png', '26.png')",0.8151658767772512,0.6859881127978209
"('1.png', '27.png')",0.8208955223880597,0.6982070618513054
"('1.png', '28.png')",0.7239819004524887,0.6432564214549834
"('1.png', '29.png')",0.7876106194690266,0.6855703033104344
"('1.png', '30.png')",0.7907949790794979,0.7270527254247182
"('1.png', '31.png')",0.7662337662337663,0.665182549675404
"('1.png', '32.png')",0.8354978354978355,0.7030714151232189
"('1.png', '33.png')",0.7412935323383084,0.6672021805244336
"('1.png', '34.png')",0.76,0.6403891185988987
"('1.png', '35.png')",0.6530612244897959,0.6977910955666902
"('1.png', '36.png')",0.8558951965065502,0.6614953454940596
"('1.png', '37.png')",0.7733990147783252,0.6802363317465575
"('1.png', '38.png')",0.725,0.6736221099450078
"('1.png', '39.png')",0.8410041841004184,0.6986328320248418
"('1.png', '40.png')",0.796875,0.7006097077170635
"('1.png', '41.png')",0.8406374501992032,0.6676319810213762
"('1.png', '42.png')",0.5631578947368421,0.6671437602823521
"('1.png', '43.png')",0.7696335078534031,0.7037244233524976
"('1.png', '44.png')",0.7972972972972973,0.6722262107084678
"('1.png', '45.png')",0.717391304347826,0.6955936553916032
"('1.png', '46.png')",0.8506224066390041,0.6814821865136699
"('1.png', '47.png')",0.8214285714285714,0.6876296003442693
"('1.png', '48.png')",0.7766497461928934,0.6984710963016997
"('1.png', '49.png')",0.8058252427184466,0.6969527702234534
"('1.png', '50.png')",0.766497461928934,0.6990289857576145
"('1.png', '51.png')",0.8481012658227848,0.6871875627111548
"('1.png', '52.png')",0.7567567567567568,0.6808332401427718
"('1.png', '53.png')",0.7731958762886598,0.677325904552709
"('1.png', '54.png')",0.8709677419354839,0.6981140632544163
"('1.png', '55.png')",0.7444444444444445,0.6929696291462765
"('1.png', '56.png')",0.7596153846153846,0.6945091592412681
"('1.png', '57.png')",0.7875,0.6619314832032046
"('1.png', '58.png')",0.8765957446808511,0.6977611819417299
"('1.png', '59.png')",0.8709677419354839,0.6964174541737717
"('1.png', '60.png')",0.8264840182648402,0.7031784345589048
"('1.png', '61.png')",0.7203791469194313,0.7043496639406356
"('1.png', '62.png')",0.7575757575757576,0.689692840800904
"('1.png', '63.png')",0.7230769230769231,0.7027551358027088
"('1.png', '64.png')",0.8043478260869565,0.6398982567135857
"('2.png', '3.png')",0.9223300970873787,0.8051255796848444
"('2.png', '4.png')",0.8697916666666666,0.7610102620431295
"('2.png', '5.png')",0.8468468468468469,0.7683607156854494
"('2.png', '6.png')",0.8686440677966102,0.8013321571678714
"('2.png', '7.png')",0.8181818181818182,0.7837274175258737
"('2.png', '8.png')",0.9,0.7763607939251477
"('2.png', '9.png')",0.8928571428571429,0.7475700681098232
"('2.png', '10.png')",0.8565022421524664,0.8079000372203385
"('2.png', '11.png')",0.7440758293838863,0.7333127597033258
"('2.png', '12.png')",0.8837209302325582,0.7813930608943441
"('2.png', '13.png')",0.8486238532110092,0.7289766617319291
"('2.png', '14.png')",0.8465346534653465,0.7214018782743853
"('2.png', '15.png')",0.6633165829145728,0.7310392580544433
"('2.png', '16.png')",0.8846153846153846,0.792117010739008
