Files Compared,ORB,SSIM
"('58.png', '50.png')",1.0,0.9420269365403673
"('58.png', '16.png')",1.0,0.6940472892729579
"('58.png', '40.png')",1.0,0.8692885718313241
"('58.png', '39.png')",1.0,0.8618734842685881
"('58.png', '3.png')",0.8545454545454545,0.5987050944274221
"('58.png', '64.png')",1.0,0.9558117432747121
"('58.png', '62.png')",1.0,0.9707096673205836
"('58.png', '28.png')",1.0,0.7815235801830944
"('58.png', '38.png')",1.0,0.8547331213852876
"('58.png', '8.png')",0.9195402298850575,0.6348578336453917
"('58.png', '1.png')",0.4444444444444444,0.5842860586854837
"('58.png', '4.png')",0.9206349206349206,0.6058948071628197
"('58.png', '63.png')",1.0,0.9632434300862802
"('58.png', '24.png')",1.0,0.7521114866166382
"('58.png', '18.png')",1.0,0.709068825502341
"('58.png', '32.png')",1.0,0.8113647456520908
"('58.png', '26.png')",1.0,0.7668913312897566
"('58.png', '23.png')",1.0,0.7448011696335312
"('58.png', '52.png')",1.0,0.956712463421269
"('58.png', '37.png')",1.0,0.8474463358907167
"('58.png', '6.png')",0.9178082191780822,0.6199365935373264
"('58.png', '21.png')",1.0,0.7304510890522508
"('58.png', '51.png')",1.0,0.9494195179546864
"('58.png', '20.png')",1.0,0.7234743378624896
"('58.png', '13.png')",1.0,0.6716083997500369
"('58.png', '19.png')",1.0,0.7160305991009293
"('58.png', '45.png')",1.0,0.9055169847916186
"('58.png', '22.png')",1.0,0.7374427942173115
"('58.png', '54.png')",1.0,0.9711099792362862
"('58.png', '7.png')",0.8888888888888888,0.6274096017533264
"('58.png', '48.png')",1.0,0.9273533199076919
"('58.png', '17.png')",1.0,0.7015930492038162
"('58.png', '9.png')",0.989247311827957,0.6423368374208012
"('58.png', '2.png')",0.7954545454545454,0.5915811389163105
"('58.png', '55.png')",1.0,0.9777731250614544
"('58.png', '11.png')",1.0,0.6568996643143689
"('58.png', '31.png')",1.0,0.8038040562868233
"('58.png', '27.png')",1.0,0.7741396906750496
"('58.png', '33.png')",1.0,0.8183295339127473
"('58.png', '5.png')",0.9264705882352942,0.6127627519024266
"('58.png', '15.png')",1.0,0.6864561596226002
"('58.png', '12.png')",1.0,0.664353708111037
"('58.png', '56.png')",1.0,0.985107722349809
"('58.png', '29.png')",1.0,0.7887652143133065
"('58.png', '25.png')",1.0,0.7596187820385013
"('58.png', '46.png')",1.0,0.9130077426582589
"('58.png', '41.png')",1.0,0.8764023445939905
"('58.png', '35.png')",1.0,0.8329717213647561
"('58.png', '59.png')",1.0,0.9926962217766224
"('58.png', '30.png')",1.0,0.7963359905779951
"('58.png', '61.png')",1.0,0.9779823396731149
"('58.png', '42.png')",1.0,0.883646647163597
"('58.png', '57.png')",1.0,0.9923845350548639
"('58.png', '36.png')",1.0,0.8401503536902245
"('58.png', '47.png')",1.0,0.9203132471807681
"('58.png', '44.png')",1.0,0.8982504691174054
"('58.png', '10.png')",1.0,0.6496649681784035
"('58.png', '53.png')",1.0,0.9639127650676734
"('58.png', '14.png')",1.0,0.6789372707844823
"('58.png', '34.png')",1.0,0.8256091716617614
