Files Compared,ORB,SSIM
"('58.png', '50.png')",1.0,0.944996505932708
"('58.png', '16.png')",1.0,0.7141840573078105
"('58.png', '40.png')",1.0,0.8781791928355993
"('58.png', '39.png')",1.0,0.8713635151065736
"('58.png', '3.png')",0.8596491228070176,0.62590154211222
"('58.png', '64.png')",1.0,0.9598828165361991
"('58.png', '62.png')",1.0,0.9734705447717585
"('58.png', '28.png')",1.0,0.7958089197606976
"('58.png', '38.png')",1.0,0.864658884195007
"('58.png', '8.png')",0.9767441860465116,0.6601030666255786
"('58.png', '1.png')",0.5789473684210527,0.6124104951522695
"('58.png', '4.png')",0.8615384615384616,0.632380765506184
"('58.png', '63.png')",1.0,0.9667043776357823
"('58.png', '24.png')",1.0,0.7685805109604941
"('58.png', '18.png')",1.0,0.72810090237875
"('58.png', '32.png')",1.0,0.8232005250593967
"('58.png', '26.png')",1.0,0.7818930975294959
"('58.png', '23.png')",1.0,0.7618913615098147
"('58.png', '52.png')",1.0,0.9584120944197368
"('58.png', '37.png')",1.0,0.8577110928548687
"('58.png', '6.png')",0.9473684210526315,0.6463063326310804
"('58.png', '21.png')",1.0,0.7481721736628013
"('58.png', '51.png')",1.0,0.9517346755375778
"('58.png', '20.png')",1.0,0.7412954688328872
"('58.png', '13.png')",1.0,0.69376667754094
"('58.png', '19.png')",1.0,0.7344673401359066
"('58.png', '45.png')",1.0,0.9117786203470195
"('58.png', '22.png')",1.0,0.7549028861376496
"('58.png', '54.png')",1.0,0.9724310387216692
"('58.png', '7.png')",0.9411764705882353,0.653350538516452
"('58.png', '48.png')",1.0,0.9321071716439703
"('58.png', '17.png')",1.0,0.721290162912844
"('58.png', '9.png')",1.0,0.6665438466874541
"('58.png', '2.png')",0.8421052631578947,0.6189739755340075
"('58.png', '55.png')",1.0,0.9795172563625055
"('58.png', '11.png')",1.0,0.6800122495052272
"('58.png', '31.png')",1.0,0.8165695567539427
"('58.png', '27.png')",1.0,0.788648269358645
"('58.png', '33.png')",1.0,0.8302753266157369
"('58.png', '5.png')",0.918918918918919,0.6394314761254987
"('58.png', '15.png')",1.0,0.707285651204586
"('58.png', '12.png')",1.0,0.6868967445359173
"('58.png', '56.png')",1.0,0.9862979000102595
"('58.png', '29.png')",1.0,0.8028406638925283
"('58.png', '25.png')",1.0,0.7752387891120381
"('58.png', '46.png')",1.0,0.9187065406257258
"('58.png', '41.png')",1.0,0.8851309634941905
"('58.png', '35.png')",1.0,0.84437995098788
"('58.png', '59.png')",1.0,0.9936823776160318
"('58.png', '30.png')",1.0,0.809599257205064
"('58.png', '61.png')",1.0,0.9803986649965045
"('58.png', '42.png')",1.0,0.8919496209285597
"('58.png', '57.png')",1.0,0.9931540271025762
"('58.png', '36.png')",1.0,0.8509552596174235
"('58.png', '47.png')",1.0,0.9254557726803302
"('58.png', '44.png')",1.0,0.905409342753506
"('58.png', '10.png')",1.0,0.6733416589952873
"('58.png', '53.png')",1.0,0.9653761688277047
"('58.png', '14.png')",1.0,0.7006293585739792
"('58.png', '34.png')",1.0,0.8374123816306532
"('58.png', '60.png')",1.0,0.9871386040011304
"('58.png', '43.png')",1.0,0.8987063405317804
"('58.png', '49.png')",1.0,0.9384531858070323
"('50.png', '16.png')",1.0,0.7691875513751026
"('50.png', '40.png')",1.0,0.9331826869028911
"('50.png', '39.png')",1.0,0.9263670091738657
"('50.png', '3.png')",0.8709677419354839,0.6809050361795123
"('50.png', '64.png')",1.0,0.9048793224689068
"('50.png', '62.png')",1.0,0.9184670507044664
"('50.png', '28.png')",1.0,0.8508124138279897
"('50.png', '38.png')",1.0,0.9196623782622991
"('50.png', '8.png')",0.98,0.7151065606928707
"('50.png', '1.png')",0.6363636363636364,0.6674139892195616
"('50.png', '4.png')",0.8767123287671232,0.6873842595734762
"('50.png', '63.png')",1.0,0.9117008835684901
"('50.png', '24.png')",1.0,0.8235840050277861
"('50.png', '18.png')",1.0,0.7831043964460421
"('50.png', '32.png')",1.0,0.8782040191266886
"('50.png', '26.png')",1.0,0.836896591596788
"('50.png', '23.png')",1.0,0.8168948555771066
"('50.png', '52.png')",1.0,0.9865844115129717
"('50.png', '37.png')",1.0,0.9127145869221608
"('50.png', '6.png')",0.9529411764705882,0.7013098266983723
"('50.png', '21.png')",1.0,0.8031756677300934
"('50.png', '51.png')",1.0,0.9932618303951303
"('50.png', '20.png')",1.0,0.7962989629001794
"('50.png', '13.png')",1.0,0.7487701716082321
"('50.png', '19.png')",1.0,0.7894708342031986
"('50.png', '45.png')",1.0,0.9667821144143115
"('50.png', '22.png')",1.0,0.8099063802049417
"('50.png', '54.png')",1.0,0.9725654672110394
"('50.png', '7.png')",0.9479166666666666,0.708354032583744
"('50.png', '48.png')",1.0,0.9871106657112622
"('50.png', '17.png')",1.0,0.7762936569801361
"('50.png', '9.png')",1.0,0.7215473407547462
"('50.png', '2.png')",0.8636363636363636,0.6739774696012996
"('50.png', '55.png')",1.0,0.9654792495702026
"('50.png', '11.png')",1.0,0.7350157435725192
"('50.png', '31.png')",1.0,0.8715730508212346
"('50.png', '27.png')",1.0,0.843651763425937
"('50.png', '33.png')",1.0,0.885278820683029
"('50.png', '5.png')",0.9285714285714286,0.6944349701927908
"('50.png', '15.png')",1.0,0.7622891452718781
"('50.png', '12.png')",1.0,0.7419002386032093
"('50.png', '56.png')",1.0,0.9586986059224484
"('50.png', '29.png')",1.0,0.85784415795982
"('50.png', '25.png')",1.0,0.8302422831793302
"('50.png', '46.png')",1.0,0.9737100346930179
"('50.png', '41.png')",1.0,0.9401344575614825
"('50.png', '35.png')",1.0,0.899383445055172
"('50.png', '59.png')",1.0,0.9386788835487399
"('50.png', '30.png')",1.0,0.864602751272356
"('50.png', '61.png')",1.0,0.9253951709292122
"('50.png', '42.png')",1.0,0.9469531149958518
"('50.png', '57.png')",1.0,0.9518424788301312
"('50.png', '36.png')",1.0,0.9059587536847155
"('50.png', '47.png')",1.0,0.9804592667476221
"('50.png', '44.png')",1.0,0.9604128368207979
"('50.png', '10.png')",1.0,0.7283451530625794
"('50.png', '53.png')",1.0,0.9796203371050037
"('50.png', '14.png')",1.0,0.7556328526412713
"('50.png', '34.png')",1.0,0.8924158756979453
"('50.png', '60.png')",1.0,0.9321351099338382
"('50.png', '43.png')",1.0,0.9537098345990724
"('50.png', '49.png')",1.0,0.9934566798743241
"('16.png', '40.png')",0.9953703703703703,0.8360048644722112
"('16.png', '39.png')",0.9908675799086758,0.8428205422012369
"('16.png', '3.png')",0.8455284552845529,0.9117174848044094
"('16.png', '64.png')",1.0,0.6740668738440094
"('16.png', '62.png')",0.9943181818181818,0.687654602079569
"('16.png', '28.png')",0.9962825278810409,0.9183751375471134
"('16.png', '38.png')",0.9861111111111112,0.8495251731128038
"('16.png', '8.png')",0.9864253393665159,0.945919009317768
"('16.png', '1.png')",0.6103896103896104,0.898226437844459
"('16.png', '4.png')",0.8758620689655172,0.9181967081983734
"('16.png', '63.png')",1.0,0.6808884349435926
"('16.png', '24.png')",0.9872611464968153,0.9456035463473165
"('16.png', '18.png')",0.9976359338061466,0.9860831549290622
"('16.png', '32.png')",0.9959349593495935,0.8909835322484138
